CZ,FFH,NoS,Ori,WWR,FA,FPV,RPV,Tilt,FPV-ty,RPV-ty,EWI-thk,IWI-thk,RI-thk,EWI-mat,IWI-mat,RI-mat,IWS,WFrm,WGlz,FrmL,WinA,EWA,IWA,GFA,FRad,RRad,FPVout,RPVout,PVout,EUse,NEUse,EUI,NEUI,EmbCE,EmbCI,OpCE,OpCI,TotCE,TotCI
0,2.9,4,0,0.3,1150,0,0,25,3,1,0.03,0.02,0.08,0,3,0,4,1,3,2081.604,867.907,2893.024,5031.262,4600,610.607,1742.368,0.0,0.0,0.0,422247.913,422247.913,91.793,91.793,1110958.963,241.513,164676.686,35.799,9344793.262,2031.477
0,3.1,6,-10,0.45,1000,1,1,10,1,2,0.09,0.02,0.04,3,2,1,3,2,2,3771.653,1946.738,4326.085,7559.455,6000,561.788,1615.936,181789.775,151090.017,332879.792,566127.736,233247.944,94.355,38.875,1998676.864,333.113,90966.698,15.161,6547011.777,1091.169
0,3.4,2,-10,0.25,1450,1,1,35,2,4,0.03,0.05,0.1,0,3,0,0,1,0,1083.079,475.946,1903.785,3346.942,2900,664.719,1768.669,141987.027,196189.569,338176.596,286831.257,-51345.338,98.907,-17.705,1179606.635,406.761,-20024.682,-6.905,178372.539,61.508
0,3.4,6,10,0.4,1350,0,1,0,6,5,0.09,0.03,0.06,1,2,3,4,2,1,4032.219,2205.55,5513.875,9693.645,8100,579.877,1492.553,0.0,85635.223,85635.223,805014.851,719379.628,99.385,88.812,2131464.293,263.144,280558.055,34.637,16159367.031,1994.984
0,3.4,6,10,0.25,1450,1,1,40,2,3,0.03,0.01,0.03,3,2,3,2,1,3,3249.237,1427.839,5711.356,10040.825,8700,581.151,1769.946,372409.818,261774.975,634184.793,858941.446,224756.653,98.729,25.834,3198344.662,367.626,87655.095,10.075,7581099.4,871.391
0,3.0,5,30,0.15,1250,0,0,25,5,4,0.05,0.02,0.09,2,3,3,4,3,0,2098.955,585.221,3901.471,6801.806,6250,618.944,1698.158,0.0,0.0,0.0,558507.101,558507.101,89.361,89.361,1543363.573,246.938,217817.77,34.851,12434252.05,1989.48
0,3.4,3,0,0.1,1350,0,0,20,3,4,0.05,0.05,0.03,3,3,1,0,3,3,1183.423,275.694,2756.937,4846.822,4050,620.014,1709.714,0.0,0.0,0.0,394862.706,394862.706,97.497,97.497,1043743.118,257.714,153996.455,38.024,8743565.885,2158.905
0,3.5,6,10,0.15,1300,0,1,15,1,1,0.08,0.03,0.07,3,2,3,0,2,0,2652.742,835.358,5569.053,9808.134,7800,577.625,1666.177,0.0,184112.554,184112.554,766383.421,582270.867,98.254,74.65,2242468.502,287.496,227085.638,29.114,13596750.405,1743.173
0,3.2,1,20,0.45,1250,0,0,0,2,5,0.07,0.01,0.06,1,3,3,0,3,1,679.033,374.541,832.314,1457.53,1250,725.645,1492.553,0.0,0.0,0.0,134374.479,134374.479,107.5,107.5,280366.803,224.293,52406.047,41.925,2900669.148,2320.535
0,3.1,4,-20,0.2,1400,1,1,0,4,3,0.08,0.01,0.1,3,0,1,1,2,1,1894.757,682.318,3411.59,5961.454,5600,625.927,1492.553,209098.8,213136.556,422235.356,480047.61,57812.254,85.723,10.324,1807870.796,322.834,22546.779,4.026,2935209.74,524.145
