CZ,FFH,NoS,Ori,WWR,FA,FPV,RPV,Tilt,FPV-ty,RPV-ty,EWI-thk,IWI-thk,RI-thk,EWI-mat,IWI-mat,RI-mat,IWS,WFrm,WGlz,FrmL,WinA,EWA,IWA,GFA,FRad,RRad,FPVout,RPVout,PVout,EUse,NEUse,EUI,NEUI,EmbCE,EmbCI,OpCE,OpCI,TotCE,TotCI
0,3.2,2,-10,0.4,1250,0,0,30,1,4,0.03,0.03,0.03,3,2,3,3,0,4,1827.681,798.499,1996.246,3694.143,2500,704.938,1757.623,0.0,0.0,0.0,265587.863,265587.863,106.235,106.235,629440.431,251.776,103579.266,41.432,5808403.75,2323.361
0,3.2,4,5,0.45,1250,1,1,30,3,3,0.06,0.01,0.06,1,2,0,3,2,4,3869.211,1796.622,3992.493,7388.286,5000,646.69,1761.917,231751.756,224644.444,456396.201,493613.19,37216.989,98.723,7.443,1895394.561,379.079,14514.626,2.903,2621125.851,524.225
0,3.5,4,-30,0.25,950,0,0,0,1,2,0.05,0.04,0.09,3,3,3,3,0,1,2836.16,951.626,3806.506,7084.36,3800,631.318,1492.553,0.0,0.0,0.0,482159.37,482159.37,126.884,126.884,1179870.615,310.492,188042.154,49.485,10581978.335,2784.731
0,3.5,6,15,0.15,1200,0,0,35,3,5,0.05,0.01,0.1,1,3,1,1,1,4,3431.064,962.319,6415.459,11939.933,7200,601.343,1760.995,0.0,0.0,0.0,753613.684,753613.684,104.669,104.669,2099495.952,291.597,293909.337,40.821,16794962.786,2332.634
0,3.4,6,25,0.15,1350,1,0,0,6,2,0.09,0.05,0.07,3,1,0,1,1,0,3483.143,991.848,6612.322,12284.382,8100,610.174,1492.553,419766.793,0.0,419766.793,848269.55,428502.757,104.725,52.902,4013427.917,495.485,167116.075,20.632,12369231.678,1527.066
0,3.5,6,30,0.45,1200,0,0,35,5,2,0.05,0.01,0.03,0,1,0,3,3,2,6028.735,2886.956,6415.459,11939.933,7200,601.566,1718.497,0.0,0.0,0.0,838442.061,838442.061,116.45,116.45,1819210.063,252.668,326992.404,45.416,18168830.25,2523.449
0,3.3,6,-15,0.5,1450,1,0,15,1,6,0.08,0.03,0.04,2,1,3,5,2,2,6441.701,3323.849,6647.698,12326.715,8700,612.965,1662.124,277087.047,0.0,277087.047,896359.05,619272.003,103.03,71.181,2865465.843,329.364,241516.081,27.76,14941269.909,1717.387
0,3.1,3,5,0.4,1200,1,0,30,3,3,0.1,0.04,0.03,3,0,3,3,1,0,2668.2,1136.453,2841.132,5246.334,3600,666.726,1761.917,185485.578,0.0,185485.578,401941.667,216456.089,111.65,60.127,1291499.887,358.75,84417.875,23.449,5512393.629,1531.22
0,3.2,5,-5,0.15,1150,1,0,30,1,1,0.04,0.01,0.1,3,1,0,0,3,2,2702.677,717.798,4785.321,8855.45,5750,626.017,1761.837,346302.308,0.0,346302.308,611499.466,265197.158,106.348,46.121,2769082.991,481.58,103426.892,17.987,7940427.58,1380.944
0,3.0,1,15,0.3,1000,0,1,25,6,4,0.05,0.02,0.03,0,1,2,0,1,4,725.914,251.028,836.759,1541.578,1000,750.887,1731.163,0.0,132433.98,132433.98,88752.766,-43681.214,88.753,-43.681,409029.189,409.029,-17035.674,-17.036,-442754.492,-442.754
