CZ,FFH,NoS,Ori,WWR,FA,FPV,RPV,Tilt,FPV-ty,RPV-ty,EWI-thk,IWI-thk,RI-thk,EWI-mat,IWI-mat,RI-mat,IWS,WFrm,WGlz,FrmL,WinA,EWA,IWA,GFA,FRad,RRad,FPVout,RPVout,PVout,EUse,NEUse,EUI,NEUI,EmbCE,EmbCI,OpCE,OpCI,TotCE,TotCI
0,2.9,4,0,0.3,1150,0,0,25,3,1,0.03,0.02,0.08,0,3,0,4,1,3,1726.945,683.196,2277.321,3584.019,4600,710.786,1742.368,0,0,0,318844.553,318844.553,69.314,69.31403326,895671.494,194.711,124349.3757,27.03247297,7113140.278,1546.334649
0,3.1,6,-10,0.45,1000,1,1,10,1,2,0.09,0.02,0.04,3,2,1,3,2,2,3072.653,1532.427,3405.393,5384.977,6000,683.32,1615.936,174057.542,151090.017,325147.559,469063.796,143916.237,78.177,23.9860395,1638639.481,273.107,56127.33243,9.354555405,4445006.103,740.8347703
0,3.4,2,-10,0.25,1450,1,1,35,2,4,0.03,0.05,0.1,0,3,0,0,1,0,894.874,374.654,1498.615,2384.193,2900,761.402,1768.669,128025.658,196189.569,324215.227,202578.368,-121636.859,69.855,-41.94374448,977442.83,337.049,-47438.37501,-16.35806035,-1394475.921,-480.8540174
0,3.4,6,10,0.4,1350,0,1,0,6,5,0.09,0.03,0.06,1,2,3,4,2,1,3266.19,1736.157,4340.393,6905.266,8100,686.614,1492.553,0,85635.223,85635.223,641762.66,556127.437,79.23,68.65770827,1740316.776,214.854,216889.7004,26.77650623,12584801.8,1553.679311
0,3.4,6,10,0.25,1450,1,1,40,2,3,0.03,0.01,0.03,3,2,3,2,1,3,2684.623,1123.961,4495.845,7152.58,8700,691.789,1769.946,348961.936,261774.975,610736.911,701240.54,90503.629,80.602,10.40271598,2610784.184,300.09,35296.41531,4.057059231,4375604.95,502.9429616
0,3,5,30,0.15,1250,0,0,25,5,4,0.05,0.02,0.09,2,3,3,4,3,0,1785.036,460.672,3071.146,4845.266,6250,706.658,1698.158,0,0,0,462209.736,462209.736,73.954,73.95355776,1242094.607,198.735,180261.797,28.84188753,10255184.46,1640.829376
0,3.4,3,0,0.1,1350,0,0,20,3,4,0.05,0.05,0.03,3,3,1,0,3,3,1014.609,217.02,2170.196,3452.633,4050,724.92,1709.714,0,0,0,344783.583,344783.583,85.132,85.13174889,838596.394,207.061,134465.5974,33.20138207,7561876.263,1867.130103
0,3.5,6,10,0.15,1300,0,1,15,1,1,0.08,0.03,0.07,3,2,3,0,2,0,2241.57,657.574,4383.828,6986.823,7800,683.19,1666.177,0,184112.554,184112.554,635202.347,451089.793,81.436,57.83202474,1839859.127,235.879,175925.0193,22.55448965,10636110.09,1363.603483
0,3.2,1,20,0.45,1250,0,0,0,2,5,0.07,0.01,0.06,1,3,3,0,3,1,549.562,294.83,655.178,1038.271,1250,803.025,1492.553,0,0,0,90282.758,90282.758,72.226,72.2262064,228033.43,182.427,35210.27562,28.1682205,1988547.211,1590.838025
0,3.1,4,-20,0.2,1400,1,1,0,4,3,0.08,0.01,0.1,3,0,1,1,2,1,1588.162,537.105,2685.523,4246.641,5600,719.756,1492.553,189271.614,213136.556,402408.17,388256.546,-14151.624,69.332,-2.527075714,1506800.808,269.072,-5519.13336,-0.985559529,1230844.14,219.7940236
