CZ,FFH,NoS,Ori,WWR,FA,FPV,RPV,Tilt,FPV-ty,RPV-ty,EWI-thk,IWI-thk,RI-thk,EWI-mat,IWI-mat,RI-mat,IWS,WFrm,WGlz,FrmL,WinA,EWA,IWA,GFA,FRad,RRad,FPVout,RPVout,PVout,EUse,NEUse,EUI,NEUI,EmbCE,EmbCI,OpCE,OpCI,TotCE,TotCI
0,2.9,4,0,0.3,1150,0,0,25,3,1,0.03,0.02,0.08,0,3,0,4,1,3,1543.938,765.628,2552.094,3884.609,4600,694.286,1742.368,0.0,0.0,0.0,388245.791,388245.791,84.401,84.401,958075.947,208.277,151415.858,32.916,8528868.864,1854.102
0,3.1,6,-10,0.45,1000,1,1,10,1,2,0.09,0.02,0.04,3,2,1,3,2,2,2844.47,1717.324,3816.275,5836.613,6000,659.731,1615.936,188325.183,151090.017,339415.2,525179.718,185764.518,87.53,30.961,1775350.795,295.892,72448.162,12.075,5397758.898,899.626
0,3.4,2,-10,0.25,1450,1,1,35,2,4,0.03,0.05,0.1,0,3,0,0,1,0,818.443,419.858,1679.433,2584.155,2900,742.326,1768.669,139878.17,196189.569,336067.739,255997.8,-80069.938,88.275,-27.61,1048560.448,361.573,-31227.276,-10.768,-512803.35,-176.829
0,3.4,6,10,0.4,1350,0,1,0,6,5,0.09,0.03,0.06,1,2,3,4,2,1,3051.606,1945.636,4864.089,7484.408,8100,679.367,1492.553,0.0,85635.223,85635.223,724340.741,638705.518,89.425,78.853,1860632.042,229.708,249095.152,30.752,14315389.647,1767.332
0,3.4,6,10,0.25,1450,1,1,40,2,3,0.03,0.01,0.03,3,2,3,2,1,3,2455.329,1259.574,5038.298,7752.464,8700,686.975,1769.946,388345.108,261774.975,650120.083,768979.589,118859.506,88.388,13.662,2821327.966,324.291,46355.207,5.328,5139088.329,590.7
0,3.0,5,30,0.15,1250,0,0,25,5,4,0.05,0.02,0.09,2,3,3,4,3,0,1420.427,516.255,3441.7,5251.636,6250,716.869,1698.158,0.0,0.0,0.0,500022.847,500022.847,80.004,80.004,1334981.678,213.597,195008.91,31.201,11085427.198,1773.668
0,3.4,3,0,0.1,1350,0,0,20,3,4,0.05,0.05,0.03,3,3,1,0,3,3,762.902,243.204,2432.045,3742.204,4050,699.43,1709.714,0.0,0.0,0.0,371925.759,371925.759,91.834,91.834,903751.281,223.148,145051.046,35.815,8156303.575,2013.902
0,3.5,6,10,0.15,1300,0,1,15,1,1,0.08,0.03,0.07,3,2,3,0,2,0,1883.497,736.915,4912.765,7572.805,7800,682.777,1666.177,0.0,184112.554,184112.554,687346.877,503234.323,88.121,64.517,1972642.875,252.903,196261.386,25.162,11785712.181,1510.989
0,3.2,1,20,0.45,1250,0,0,0,2,5,0.07,0.01,0.06,1,3,3,0,3,1,510.618,330.403,734.229,1125.351,1250,772.145,1492.553,0.0,0.0,0.0,122557.929,122557.929,98.046,98.046,243886.764,195.109,47797.592,38.238,2633766.383,2107.013
0,3.1,4,-20,0.2,1400,1,1,0,4,3,0.08,0.01,0.1,3,0,1,1,2,1,1374.977,601.91,3009.549,4602.805,5600,718.228,1492.553,211658.293,213136.556,424794.848,427732.536,2937.688,76.381,0.525,1621880.891,289.622,1145.698,0.205,1679165.804,299.851
0,3.5,6,-5,0.25,1200,0,0,25,5,2,0.03,0.04,0.04,3,3,0,5,3,4,2383.219,1179.819,4719.275,7274.548,7200,680.634,1740.893,0.0,0.0,0.0,699158.89,699158.89,97.105,97.105,1575455.863,218.813,272671.967,37.871,15209054.216,2112.369
0,3.4,4,15,0.4,1050,0,0,0,3,2,0.06,0.04,0.05,1,2,1,4,1,4,1909.789,1143.053,2857.633,4397.06,4200,700.578,1492.553,0.0,0.0,0.0,367392.366,367392.366,87.474,87.474,1034317.662,246.266,143283.023,34.115,8198468.791,1952.016
0,3.5,2,10,0.15,1050,1,0,40,6,2,0.05,0.02,0.09,1,3,3,1,3,4,595.01,220.626,1470.841,2267.234,2100,725.676,1769.946,111047.489,0.0,111047.489,178883.011,67835.522,85.182,32.303,882503.349,420.24,26455.853,12.598,2205296.021,1050.141
0,3.2,5,5,0.5,1250,0,1,35,4,6,0.04,0.02,0.04,3,0,1,1,3,1,2691.196,1835.573,3671.146,5626.753,6250,722.861,1774.009,0.0,169639.597,169639.597,540572.838,370933.241,86.492,59.349,1311283.578,209.805,144663.964,23.146,8544481.78,1367.117
0,3.3,7,-30,0.2,1350,0,0,20,2,6,0.09,0.05,0.05,0,2,2,4,0,2,2473.281,1101.573,5507.866,8458.94,9450,685.615,1673.358,0.0,0.0,0.0,751689.439,751689.439,79.544,79.544,2175609.168,230.223,293158.881,31.022,16833553.228,1781.328
0,3.0,1,10,0.4,950,0,0,10,4,4,0.03,0.01,0.1,1,3,1,3,0,3,433.127,240.009,600.022,915.564,950,758.277,1615.994,0.0,0.0,0.0,72044.61,72044.61,75.836,75.836,181240.539,190.78,28097.398,29.576,1586110.434,1669.59
0,3.2,1,25,0.5,1200,1,1,5,5,2,0.09,0.02,0.08,0,3,1,2,3,2,532.675,359.564,719.128,1102.204,1200,768.954,1552.027,18801.185,174137.474,192938.659,89647.55,-103291.11,74.706,-86.076,476805.481,397.338,-40283.533,-33.57,-1537371.156,-1281.143
