CZ,FFH,NoS,Ori,WWR,FA,FPV,RPV,Tilt,FPV-ty,RPV-ty,EWI-thk,IWI-thk,RI-thk,EWI-mat,IWI-mat,RI-mat,IWS,WFrm,WGlz,FrmL,WinA,EWA,IWA,GFA,FRad,RRad,FPVout,RPVout,PVout,EUse,NEUse,EUI,NEUI,EmbCE,EmbCI,OpCE,OpCI,TotCE,TotCI
2,3.4,1,0,0.2,1100,1,1,25,6,3,0.06,0.05,0.08,1,0,0,4,0,4,672.849,193.198,965.992,1292.245,1100,691.395,1742.246,65398.959,195480.039,260878.997,78955.638,-181923.359,71.778,-165.385,764507.326,695.007,-70950.11,-64.5,-2782998.183,-2529.998
3,3.5,1,0,0.35,1400,1,1,40,2,4,0.03,0.01,0.07,0,3,2,1,2,0,1000.955,392.774,1122.211,1503.906,1400,658.604,1596.978,71869.293,171036.328,242905.621,56841.54,-186064.081,40.601,-132.903,622153.045,444.395,-72564.991,-51.832,-3006096.529,-2147.212
1,3.2,1,25,0.2,1450,1,1,20,2,4,0.04,0.01,0.05,2,1,0,2,1,4,698.522,208.814,1044.071,1391.239,1450,932.535,2298.194,116524.453,254927.153,371451.606,177094.78,-194356.825,122.134,-134.039,696635.92,480.439,-75799.162,-52.275,-3093322.176,-2133.326
3,3.2,1,30,0.15,950,0,1,25,2,3,0.08,0.05,0.09,1,2,2,5,0,2,563.734,126.828,845.517,1126.663,950,660.967,1595.073,0,154562.566,154562.566,37733.338,-116829.228,39.719,-122.978,432345.349,455.1,-45563.399,-47.961,-1845824.595,-1942.973
0,3.5,1,-20,0.4,1350,1,1,5,2,2,0.1,0.02,0.03,2,3,0,1,3,4,1080.219,440.987,1102.468,1477.448,1350,750.872,1554.358,74304.466,196198.776,270503.242,107032.794,-163470.447,79.284,-121.089,662091.118,490.438,-63753.474,-47.225,-2525582.605,-1870.802
3,3.1,1,15,0.4,1300,1,1,15,4,6,0.1,0.01,0.04,0,3,3,5,3,2,985.258,383.226,958.065,1273.889,1300,670.516,1571.919,47177.725,156327.389,203505.113,51041.232,-152463.881,39.262,-117.28,646714.761,497.473,-59460.914,-45.739,-2326330.922,-1789.485
4,3.3,1,-25,0.2,1000,1,1,0,1,2,0.07,0.02,0.1,0,2,1,4,3,3,649.333,178.895,894.473,1194.305,1000,705.012,1439.759,68610.784,134617.434,203228.218,83241.207,-119987.011,83.241,-119.987,630070.666,630.071,-46794.934,-46.795,-1709676.045,-1709.676
2,3.5,1,-15,0.15,1100,1,1,35,5,4,0.04,0.05,0.06,1,3,2,4,1,4,600.45,149.16,994.403,1332.628,1100,691.275,1715.478,39732.048,144357.473,184089.521,68180.266,-115909.255,61.982,-105.372,649149.415,590.136,-45204.61,-41.095,-1611081.061,-1464.619
2,3.1,1,15,0.25,1400,1,1,40,6,6,0.03,0.01,0.06,1,2,0,1,1,1,763.749,248.489,993.958,1321.614,1400,706.766,1670.129,64489.087,178870.838,243359.925,97663.239,-145696.686,69.759,-104.069,829321.864,592.373,-56821.708,-40.587,-2011763.516,-1436.974
3,3.6,1,0,0.5,1250,0,1,35,5,1,0.1,0.04,0.04,1,0,0,5,3,0,1252.218,545.608,1091.216,1464.831,1250,656.714,1611.115,0,171180.986,171180.986,55358.227,-115822.759,44.287,-92.658,495079.663,396.064,-45170.876,-36.137,-1763464.135,-1410.771
0,3.5,1,0,0.25,1000,1,1,5,1,1,0.03,0.05,0.06,1,0,0,1,1,1,745.141,237.171,948.684,1271.357,1000,737.021,1558.721,71318.338,132491.293,203809.63,103833.65,-99975.981,103.834,-99.976,626867.64,626.868,-38990.632,-38.991,-1322663.984,-1322.664
0,3.2,1,25,0.5,1200,1,1,5,5,2,0.09,0.02,0.08,0,3,1,2,3,2,1136.153,475.01,950.02,1265.914,1200,753.175,1552.027,24328.048,174137.474,198465.523,94022.59,-104442.933,78.352,-87.036,548624.261,457.187,-40732.744,-33.944,-1488012.927,-1240.011
3,2.9,1,-10,0.2,1250,0,1,0,4,1,0.05,0.02,0.03,1,0,2,2,0,0,644.257,175.807,879.035,1163.248,1250,671.818,1447.762,0,153824.731,153824.731,49513.729,-104311.001,39.611,-83.449,491942.962,393.554,-40681.291,-32.545,-1542121.566,-1233.697
3,2.9,1,25,0.1,950,0,1,0,6,1,0.09,0.03,0.07,3,3,1,3,1,2,481.2,76.625,766.25,1013.997,950,664.89,1447.762,0,116906.795,116906.795,38197.468,-78709.327,40.208,-82.852,398548.938,419.525,-30696.638,-32.312,-1136282.943,-1196.087
2,2.9,1,-25,0.35,1050,0,1,25,2,2,0.1,0.03,0.03,3,3,3,3,0,4,818.426,281.748,804.993,1065.267,1050,703.805,1734.993,0,170332.961,170332.961,85941.651,-84391.31,81.849,-80.373,392336.829,373.654,-32912.611,-31.345,-1253293.712,-1193.613
3,3,2,-20,0.2,1050,1,1,25,6,3,0.08,0.04,0.1,0,0,1,0,3,1,1258.078,333.101,1665.503,2209.442,2100,614.133,1584.343,100156.544,169683.186,269839.73,83603.551,-186236.179,39.811,-88.684,1145000.964,545.239,-72632.11,-34.587,-2486604.528,-1184.097
4,3.3,1,30,0.1,1050,0,1,40,2,3,0.09,0.04,0.08,0,1,2,5,1,1,505.823,91.603,916.027,1223.084,1050,709.568,1603.764,0,171763.137,171763.137,86433.616,-85329.521,82.318,-81.266,473689.909,451.133,-33278.513,-31.694,-1190235.753,-1133.558
